City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Bonavista,CA,48.6499,-53.1147,31.64,86,100,28.61,overcast clouds
260,Itaituba,BR,-4.2761,-55.9836,80.76,89,20,0.0,few clouds
261,Aleksandrov Gay,RU,50.147,48.5704,41.56,83,84,11.03,broken clouds
262,Corowa,AU,-36.0333,146.3833,70.41,55,8,5.08,clear sky
263,Benton Harbor,US,42.1167,-86.4542,65.05,88,100,0.0,light rain
264,Bilibino,RU,68.0546,166.4372,24.93,75,100,4.5,overcast clouds
265,Tilichiki,RU,60.4667,166.1,22.08,84,100,9.66,overcast clouds
266,Salalah,OM,17.0151,54.0924,80.69,69,40,2.3,scattered clouds
267,Presidente Medici,BR,-11.1753,-61.9014,74.64,94,47,1.05,scattered clouds
268,Stornoway,GB,58.2093,-6.3865,44.04,93,100,1.14,overcast clouds
269,Port Blair,IN,11.6667,92.75,78.84,94,20,2.3,few clouds
270,Kodiak,US,57.79,-152.4072,45.91,46,0,12.66,clear sky
271,Klos,AL,41.5072,20.0851,41.95,83,16,1.95,few clouds
272,Bahir Dar,ET,11.5936,37.3908,66.9,65,52,1.72,light rain
273,Azangaro,PE,-14.9167,-70.2167,42.69,42,19,2.46,few clouds
274,Bastia,FR,42.6667,9.3333,53.29,60,0,5.75,clear sky
275,Ibra,OM,22.6906,58.5334,76.24,22,10,2.46,clear sky
276,Songkhla,TH,6.8333,100.6667,81.84,89,97,3.78,overcast clouds
277,Lompoc,US,34.6391,-120.4579,63.7,59,0,25.99,clear sky
278,Itapaci,BR,-14.9508,-49.5494,74.71,73,76,2.77,broken clouds
279,Coihaique,CL,-45.5752,-72.0662,50.61,76,20,4.61,few clouds
280,Broken Hill,AU,-31.95,141.4333,69.51,35,66,16.11,broken clouds
281,Grand-Lahou,CI,5.1367,-5.0242,80.65,85,97,10.65,overcast clouds
282,Okhotsk,RU,59.3833,143.3,22.57,66,12,16.93,few clouds
283,Bushenyi,UG,-0.5853,30.2114,60.75,91,100,2.1,overcast clouds
284,Mantua,IT,45.1667,10.7833,52.84,81,66,1.01,broken clouds
285,Kahului,US,20.8947,-156.47,84.22,63,40,18.41,scattered clouds
286,North Platte,US,41.1239,-100.7654,40.12,26,68,20.0,broken clouds
287,Sangar,RU,63.9242,127.4739,22.35,93,100,14.61,light snow
288,Sangre Grande,TT,10.5835,-61.1177,77.18,92,30,9.78,scattered clouds
289,Wattegama,LK,6.7989,81.4808,74.64,89,40,2.33,scattered clouds
290,Rawson,AR,-43.3002,-65.1023,61.12,42,4,6.51,clear sky
291,Changying,CN,52.8733,123.3213,31.17,62,100,5.17,overcast clouds
292,Cidreira,BR,-30.1811,-50.2056,68.14,72,100,7.96,overcast clouds
293,The Pas,CA,53.8251,-101.2541,30.22,51,75,9.22,broken clouds
294,Ilulissat,GL,69.2167,-51.1,21.22,79,40,10.36,scattered clouds
295,Touros,BR,-5.1989,-35.4608,78.85,83,7,8.21,clear sky
296,Prince Rupert,CA,54.3161,-130.3201,42.89,33,0,16.11,clear sky
297,Shirokiy,RU,49.758,129.523,34.43,51,0,13.94,clear sky
298,Bitkine,TD,11.9801,18.2138,89.89,35,99,4.25,overcast clouds
299,Makakilo City,US,21.3469,-158.0858,82.72,51,100,18.41,overcast clouds
300,Merate,IT,45.6987,9.4117,55.09,68,100,1.99,overcast clouds
301,Viedma,AR,-40.8135,-62.9967,53.31,68,0,2.1,clear sky
302,Padang,ID,-0.9492,100.3543,78.85,76,52,1.68,broken clouds
303,Cap Malheureux,MU,-19.9842,57.6142,79.47,83,24,8.99,few clouds
304,Constitucion,CL,-35.3333,-72.4167,55.98,57,0,8.5,clear sky
305,Ziro,IN,27.6333,93.8333,48.94,95,65,0.83,broken clouds
306,Chapais,CA,49.7834,-74.8492,40.78,92,8,6.22,clear sky
307,Kavieng,PG,-2.5744,150.7967,85.62,68,63,11.5,broken clouds
308,Tasiilaq,GL,65.6145,-37.6368,28.56,83,100,6.29,overcast clouds
309,Uvat,RU,59.1433,68.8953,38.57,84,100,9.6,overcast clouds
310,Santa Ines,BR,-3.6667,-45.38,74.57,98,100,3.33,light rain
311,Buraydah,SA,26.326,43.975,77.45,26,100,3.69,overcast clouds
312,Grand-Santi,GF,4.25,-54.3833,72.59,99,67,3.13,broken clouds
313,Aden,YE,12.7794,45.0367,81.63,76,0,8.25,clear sky
314,Kutum,SD,14.2,24.6667,72.5,13,19,11.1,few clouds
315,Lamar,US,33.6668,-95.5836,66.11,34,0,13.8,clear sky
316,Bargur,IN,12.5424,78.3539,75.56,84,94,1.3,overcast clouds
317,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,72,100,18.41,overcast clouds
318,Codrington,AU,-38.2667,141.9667,71.62,36,100,11.21,overcast clouds
319,Camocim,BR,-2.9022,-40.8411,77.32,88,100,6.55,overcast clouds
320,Qui Nhon,VN,13.7667,109.2333,79.57,80,95,1.81,overcast clouds
321,Burpengary,AU,-27.1575,152.9576,77.02,65,41,9.24,scattered clouds
322,Zavyalovo,RU,54.5053,82.4484,33.24,66,3,6.89,clear sky
323,Cordoba,AR,-31.4135,-64.1811,59.76,63,0,6.91,clear sky
324,Tibati,CM,6.4667,12.6333,69.1,92,100,2.39,overcast clouds
325,Rorvik,NO,64.8621,11.2373,38.62,74,6,10.83,clear sky
326,Nemuro,JP,43.3236,145.575,33.55,71,18,6.73,few clouds
327,Pandan,PH,14.0453,124.1694,82.29,75,51,7.38,broken clouds
328,Te Anau,NZ,-45.4167,167.7167,59.54,53,17,0.4,few clouds
329,Bridlington,GB,54.0831,-0.1919,48.15,90,31,9.24,scattered clouds
330,Zhirnov,RU,48.1709,41.1261,40.23,88,95,11.83,overcast clouds
331,Ikryanoye,RU,46.0932,47.7308,46.38,55,100,8.37,overcast clouds
332,Cherskiy,RU,68.75,161.3,10.99,88,100,8.66,overcast clouds
333,Sal Rei,CV,16.1833,-22.9167,68.77,80,8,15.64,clear sky
334,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,95,75,19.57,broken clouds
335,Luganville,VU,-15.5333,167.1667,85.05,68,23,7.61,few clouds
336,Shache,CN,38.4167,77.2406,62.78,35,93,2.19,overcast clouds
337,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,84,6,7.96,clear sky
338,Clyde River,CA,70.4692,-68.5914,-12.77,84,0,3.44,clear sky
339,Vicuna,CL,-30.0319,-70.7081,67.57,48,0,1.05,clear sky
340,Nongan,CN,44.382,125.1685,53.29,24,100,13.65,overcast clouds
341,Kashi,CN,39.4547,75.9797,63.61,27,40,8.95,dust
342,Sattahip,TH,12.6664,100.9007,89.98,79,20,2.3,haze
343,Astana,KZ,51.1801,71.446,30.15,80,0,8.95,clear sky
344,Bonthe,SL,7.5264,-12.505,77.74,86,100,8.68,overcast clouds
345,Axim,GH,4.8699,-2.2405,79.95,82,61,7.18,broken clouds
346,Smidovich,RU,48.6,133.8167,38.48,65,100,12.48,overcast clouds
