City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Kununurra,AU,2022-04-13 23:50:29,-15.7667,128.7333,78.78,89,87,4.61
270,Matipo,BR,2022-04-13 23:50:29,-20.2839,-42.3411,70.09,93,64,2.77
271,Kavieng,PG,2022-04-13 23:50:29,-2.5744,150.7967,85.32,68,72,11.7
272,Viransehir,TR,2022-04-13 23:50:30,37.2353,39.7631,39.22,33,0,4.12
273,Kyra,RU,2022-04-13 23:50:30,49.5776,111.9753,32.74,38,74,4.12
274,Hami,CN,2022-04-13 23:50:30,42.8,93.45,46.56,19,1,16.78
275,Tarko-Sale,RU,2022-04-13 23:50:31,64.9225,77.785,30.11,92,100,9.98
276,Angoche,MZ,2022-04-13 23:51:31,-16.2325,39.9086,78.01,79,0,5.84
277,Buin,CL,2022-04-13 23:51:31,-33.7333,-70.75,73.44,19,0,3.04
278,Mount Pleasant,US,2022-04-13 23:51:32,32.7941,-79.8626,73.99,82,0,6.91
279,Pocone,BR,2022-04-13 23:51:33,-16.2567,-56.6228,79.59,76,24,3.4
280,Beringovskiy,RU,2022-04-13 23:51:33,63.05,179.3167,30.76,99,100,10.51
281,Pangai,TO,2022-04-13 23:51:33,-19.8,-174.35,84.31,65,20,6.91
282,Sangamner,IN,2022-04-13 23:50:31,19.5667,74.2167,82.29,16,61,5.59
283,Kiama,AU,2022-04-13 23:51:34,-34.6833,150.8667,71.58,77,26,1.99
284,Cidreira,BR,2022-04-13 23:51:34,-30.1811,-50.2056,68.72,71,100,7.31
285,Half Moon Bay,US,2022-04-13 23:50:50,37.4636,-122.4286,63.41,56,0,17.27
286,Suraabad,AZ,2022-04-13 23:51:35,40.8192,49.4687,47.3,81,3,15.21
287,Kaitangata,NZ,2022-04-13 23:48:50,-46.2817,169.8464,59.34,57,26,6.78
288,Vardo,NO,2022-04-13 23:51:35,70.3705,31.1107,29.75,75,76,8.21
289,Hamilton,US,2022-04-13 23:51:36,39.1834,-84.5333,67.77,86,40,10.36
290,Agudos,BR,2022-04-13 23:51:36,-22.4692,-48.9875,71.85,90,0,3.44
291,Talcahuano,CL,2022-04-13 23:51:36,-36.7167,-73.1167,56.88,77,0,10.36
292,Hofn,IS,2022-04-13 23:51:37,64.2539,-15.2082,40.14,90,100,11.36
293,Sao Joao Da Barra,BR,2022-04-13 23:51:37,-21.6403,-41.0511,77.72,90,42,8.46
